reference_date,location,horizon,target,target_end_date,output_type,output_type_id,value,location_name,model_id
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.45,75,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.5,83,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.55,89,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.6,97,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.65,107,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.7,119,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.75,133,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.8,147,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.85,163,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.9,186,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.95,228,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.975,277,Alabama,Ensemble
2026-02-21,01,2,wk inc flu hosp,2026-03-07,quantile,0.99,364,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.01,11,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.025,17,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.05,22,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.1,31,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.15,37,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.2,41,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.25,46,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.3,51,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.35,57,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.4,63,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.45,68,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.5,76,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.55,83,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.6,89,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.65,99,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.7,112,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.75,124,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.8,139,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.85,161,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.9,190,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.95,235,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.975,282,Alabama,Ensemble
2026-02-21,01,3,wk inc flu hosp,2026-03-14,quantile,0.99,361,Alabama,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.01,0,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.025,1,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.05,2,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.1,2,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.15,3,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.2,3,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.25,4,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.3,5,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.35,5,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.4,6,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.45,7,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.5,8,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.55,9,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.6,10,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.65,11,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.7,11,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.75,12,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.8,13,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.85,15,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.9,17,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.95,20,Alaska,Ensemble
2026-02-21,02,0,wk inc flu hosp,2026-02-21,quantile,0.975,24,Alaska,Ensemble
